2025-09-25 14:36:26 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 14:36:26 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 14:36:29 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 14:36:30 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:36:39 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 14:36:39 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 14:36:42 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 14:36:42 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:36:42 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 14:36:45 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 14:36:45 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:36:50 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 14:36:50 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:36:53 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:36:59 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:37:14 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:37:29 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:37:40 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:37:55 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:38:11 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:38:31 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:38:46 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:38:58 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:39:13 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:39:28 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:39:43 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:39:58 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:40:13 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:40:28 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:40:43 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:41:33 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:42:15 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:45:17 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:45:21 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:45:38 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:45:55 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:46:12 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:46:29 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:46:46 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:47:03 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:47:20 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:47:37 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:47:54 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:48:11 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:48:11 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:48:28 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:48:45 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:49:02 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:49:20 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:49:36 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:49:53 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:50:10 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:50:26 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:50:27 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:50:44 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:51:01 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:51:18 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:51:35 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:51:52 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
2025-09-25 14:52:09 | api_servers_status | 6 | ubuntu | 192.168.9.59 | ONLINE
